YEAR;PM04907AA
1950;39907.9546496035
1951;42988.0651631115
1952;46042.7751625289
1953;49116.37386485
1954;52063.8413427664
1955;55152.1061180608
1956;57391.5761724498
1957;61241.9885410521
1958;61169.9278973373
1959;63067.2098948096
1960;69378.138784549
1961;74547.2030329151
1962;81468.8147000286
1963;84834.2822621524
1964;89748.4756490522
1965;94943.4088989163
1966;101997.709192047
1967;107161.788370847
1968;107568.515235636
1969;110771.322921931
1970;114235.593714192
1971;120432.450392337
1972;125104.176846332
1973;132287.676723292
1974;143355.815573285
1975;150882.631591662
1976;154603.673911041
1977;155893.279020049
1978;154846.476454176
1979;158438.421396813
1980;166624.442358689
1981;177763.516126963
1982;177516.909499715
1983;160401.711659564
1984;166038.742367181
1985;171105.085929418
1986;187207.15425467
1987;204551.577414813
1988;186994.440799126
1989;164025.987583446
1990;148915.742134357
1991;153426.609001453
1992;152269.00634933
1993;158201.896105848
1994;156137.317913643
1995;169732.064334575
1996;174318.826344233
1997;187209.821798918
1998;187335.344501306
1999;185974.103933765
2000;188540.812471636
2001;190148.619427464
2002;203201.948500139
2003;209707.463003396
2004;222234.798606724
2005;235945.000165066
2006;271593.802244692
2007;303275.635564029
2008;320962.509631635
2009;323894.07114027
2010;366500.351349146
2011;395408.877530274
2012;420608.71910278
2013;440759.180854116
2014;452658.921905286
2015;461459.943038527
2016;478530.01159013
2017;495327.322387361
2018;513217.85513564
2019;527889.819453215
2020;488276.593945353
2021;539760.953647393
